category_id,category_name,subcategory_id,subcategory_name,question_id,question,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,low_feedback,medium_feedback,high_feedback
1,Neuroticismo,1,Ansiedade,1,"Sinto preocupação constante com meu desempenho, prazos e exigências do curso (provas, projetos, estágios).",(1) Discordo Totalmente,(2) Discordo Parcialmente,(3) Neutro,(4) Concordo Parcialmente,(5) Concordo Totalmente,Sua tranquilidade preserva foco e energia. Use agenda ou listas semanais de tarefas para não subestimar prazos e manter ritmo constante.,"Você se preocupa quando necessário, mas sem excessos. Mantenha a prática de planejar etapas intermediárias para que a carga de trabalho se distribua de forma equilibrada.","A vigilância constante pode impulsionar a excelência, porém compete com a concentração. Divida projetos em partes menores e utilize técnicas de respiração para conter a tensão diária."
1,Neuroticismo,1,Ansiedade,2,Fico nervoso(a) facilmente quando penso em avaliações.,(1) Discordo Totalmente,(2) Discordo Parcialmente,(3) Neutro,(4) Concordo Parcialmente,(5) Concordo Totalmente,"A serenidade em avaliações favorece desempenho estável. Para não acomodar-se, participe de grupos de estudo.","Você reage com leve nervosismo saudável, suficiente para prepará-lo. Continue ensaiando apresentações e conferindo prazos com antecedência para transformar esse alerta em ação produtiva.","O nervosismo indica alta sensibilidade a expectativas externas. Planeje-se com antecedência, inclua pausas ativas (alongamentos) e recorra a suporte psicológico se os sintomas persistirem."
1,Neuroticismo,1,Ansiedade,3,Às vezes perco o sono pensando se meu esforço de estudo é suficiente.,(1) Discordo Totalmente,(2) Discordo Parcialmente,(3) Neutro,(4) Concordo Parcialmente,(5) Concordo Totalmente,"Seu sono regular mantém clareza mental. Defina metas diárias e alarmes para garantir , revisões necessárias de conteúdos.","Ocasional inquietação é natural. Mantenha a higiene do sono (rotina fixa, afastar telas antes de dormir) e registre tarefas concluídas para reduzir a ruminação noturna.","Perder sono revela tensão emocional intensa. Adote técnicas de relaxamento (respiração 4-7-8), exercício físico leve e procure apoio se a insônia tornar-se frequente."
1,Neuroticismo,1,Ansiedade,4,Meu coração acelera quando imagino a pressão de uma apresentação ou seminário.,(1) Discordo Totalmente,(2) Discordo Parcialmente,(3) Neutro,(4) Concordo Parcialmente,(5) Concordo Totalmente,"A calma facilita apresentações fluidas. Para crescer, faça ensaios cronometrados e peça críticas construtivas que desafiem seu nível de conforto.",Um leve aumento de adrenalina é útil para energia . Continue praticando visualização positiva e revisando o roteiro para converter a excitação em desempenho confiante.,"A ativação fisiológica é típica de estresse, porém, em níveis elevados, pode ser prejudicial. Realize ensaios estruturados, pratique respiração diafragmática antes de falar em público e use feedback gradual para dessensibilizar a ansiedade."
1,Neuroticismo,1,Ansiedade,5,Sinto um “aperto” no peito ao ver o prazo se aproximar para uma prova importante.,(1) Discordo Totalmente,(2) Discordo Parcialmente,(3) Neutro,(4) Concordo Parcialmente,(5) Concordo Totalmente,"Serenidade reduz o risco de esgotamento. Para evitar procrastinação, divida o conteúdo em blocos diários e acompanhe o progresso em um quadro visível.",A tensão moderada ajuda a priorizar revisões. Siga um cronograma espaçado (revisão progressiva) para manter pressão adequada sem sobrecarga.,"O desconforto físico sinaliza ansiedade elevada. Combine planejamento detalhado, exercício leve e, se necessário, apoio psicológico para aprender estratégias de regulação emocional."
1,Neuroticismo,1,Ansiedade,6,Consigo manter a calma mesmo quando o prazo para entregar um trabalho está muito próximo.,(1) Discordo Totalmente,(2) Discordo Parcialmente,(3) Neutro,(4) Concordo Parcialmente,(5) Concordo Totalmente,"Dificuldade em manter a calma sugere alta ansiedade. Priorize micro-tarefas, use a técnica Pomodoro e inclua pausas curtas com respiração profunda para reduzir picos de tensão.","Você se mantém relativamente estável, mas nota um leve estresse. Continue quebrando a tarefa em etapas e solicitando revisões preliminares para evitar acúmulo nos dias finais.","Sua calma preserva eficiência e saúde mental. Para não acomodar-se, estabeleça prazos mais curtos e submeta rascunhos a colegas para assegurar revisão criteriosa."
1,Neuroticismo,2,Hostilidade,7,Fico irritado(a) quando alguém interrompe minha rotina de estudos abruptamente.,(1) Discordo Totalmente,(2) Discordo Parcialmente,(3) Neutro,(4) Concordo Parcialmente,(5) Concordo Totalmente,"Sua serenidade mantém o ambiente colaborativo. Para proteger períodos de foco, defina horários de “porta fechada” com avisos aos colegas e use fones ou bibliotecas silenciosas como barreira contra interrupções frequentes.","Você reage com leve irritação, o que sinaliza que valoriza o tempo de estudo. Defina curtos intervalos de convivência (ex.: pausa a cada 90 min) para minimizar interferências e manter relações amistosas.","A irritação intensa pode dispersar a concentração e gerar atritos. Identifique os gatilhos (barulho, mensagens) e aplique pausas de 2-3 min com respiração diafragmática antes de retomar o trabalho. Se possível, reserve lugares silenciosos ou ajuste o cronograma para horários de menor fluxo."
1,Neuroticismo,2,Hostilidade,8,"Quando meu planejamento é prejudicado, sinto que vou “explodir”.",(1) Discordo Totalmente,(2) Discordo Parcialmente,(3) Neutro,(4) Concordo Parcialmente,(5) Concordo Totalmente,"A flexibilidade preserva a saúde mental. Para evitar passividade, elabore planos B realistas e registre compromissos mínimos diários, assegurando que os contratempos não levem ao adiamento excessivo das tarefas.","Um leve estresse indica engajamento saudável. Revise cronogramas todas as semanas, ajustando metas antecipadamente e mantendo margem de segurança para imprevistos.",A sensação de “explodir” aponta reatividade elevada. Utilize técnicas de relaxamento muscular progressivo e converse rapidamente com a equipe para renegociar prazos antes que a frustração transborde.
1,Neuroticismo,2,Hostilidade,9,Sinto raiva de colegas que parecem avançar sem se dedicar tanto quanto eu.,(1) Discordo Totalmente,(2) Discordo Parcialmente,(3) Neutro,(4) Concordo Parcialmente,(5) Concordo Totalmente,"Sua postura calma favorece a cooperação. Cuide para não acumular ressentimento silencioso, registre desconfortos (0-10) e, ao atingir ≥ 5, busque diálogo construtivo.",Comparações ocasionais são naturais. Redirecione a energia para metas próprias e considere aprendizado cruzado: observe métodos dos colegas que entregam bons resultados com menos esforço e avalie o que pode ser adaptado.,A raiva pode levar a conflitos e perda de foco. Pratique análise objetiva: liste suas evidências de esforço vs. resultado e converse com algum professor que você se sente mais próximo.
1,Neuroticismo,2,Hostilidade,10,Às vezes me sinto hostil quando subestimam a complexidade dos projetos do curso.,(1) Discordo Totalmente,(2) Discordo Parcialmente,(3) Neutro,(4) Concordo Parcialmente,(5) Concordo Totalmente,"Confiança tranquila é positiva, mas garanta que o valor do seu trabalho seja reconhecido: apresente resultados parciais e documentação clara, evitando que a simplicidade aparente mascare a real complexidade.",A hostilidade moderada indica zelo. Transforme esse impulso em explicações técnicas concisas: prepare “elevator pitches” de 1 min que destaquem desafios chave e relevância do projeto sem soar defensivo.,"Sentir-se desrespeitado pode gerar respostas ríspidas. Antes de reagir, aplique a regra dos 10 segundos: respire, então exponha a complexidade do trabalho com dados concretos (ex.: métricas, requisitos de laboratório) para converter tensão em esclarecimento."
